Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,,,,NAME,AGE,SALARY,GENDER,DEPARTMENT,POSITION,JOINING DATE,PERFORMANCE SCORE,EMAIL,PHONE NUMBER,
 eve ,35,65000,Male,Finance,Clerk,5-Apr-18,F,,123-456-7890,,,,Eve,35,65000,Male,Finance,Clerk,4/5/2018,F,,123-456-7890,
 bob ,40,55000,Female,Sales,Assistant,1/15/2020,B,nan,098-765-4321,,,,Bob,40,55000,Female,Sales,Assistant,1/15/2020,B,,098-765-4321,
 hannah ,50,55000,Male,HR,Director,5-Apr-18,D,user@domain.com, ,,,,Hannah,50,55000,Male,HR,Director,4/5/2018,D,user@domain.com,,
 frank ,25, NAN ,Female,IT,Clerk,3/25/2019,B,email@example.com,555-555-5555,,,,Frank,25,  ,Female,IT,Clerk,3/25/2019,B,email@example.com,555-555-5555,
 bob ,50,50000,Female,Finance,Assistant,3/25/2019,D,user@domain.com,nan,,,,Bob,50,50000,Female,Finance,Assistant,3/25/2019,D,user@domain.com,,
 eve ,35,50000,Female,IT,Clerk,1/15/2020,D,email@example.com,098-765-4321,,,,Eve,35,50000,Female,IT,Clerk,1/15/2020,D,email@example.com,098-765-4321,
 alice ,25,50000,Other,IT,Director,5-Apr-18,F,user@domain.com,555-555-5555,,,,Alice,25,50000,Other,IT,Director,4/5/2018,F,user@domain.com,555-555-5555,
 jack ,50,50000,Other,Marketing,Analyst,5-Apr-18,B,email@example.com, ,,,,Jack,50,50000,Other,Marketing,Analyst,4/5/2018,B,email@example.com,,
 frank ,40,70000,Other,Marketing,Director,1/15/2020,B,email@example.com,555-555-5555,,,,Frank,40,70000,Other,Marketing,Director,1/15/2020,B,email@example.com,555-555-5555,
 ivy ,40,50000,Other,Finance,Manager,5-Apr-18,A,name@company.org,123-456-7890,,,,Ivy,40,50000,Other,Finance,Manager,4/5/2018,A,name@company.org,123-456-7890,
 alice ,thirty,70000,Male,Sales,Clerk,1/15/2020,B,email@example.com,123-456-7890,,,,Alice,30,70000,Male,Sales,Clerk,1/15/2020,B,email@example.com,123-456-7890,
 jack ,50,70000,Male,Finance,Analyst,2/20/2020,A,email@example.com,098-765-4321,,,,Jack,50,70000,Male,Finance,Analyst,2/20/2020,A,email@example.com,098-765-4321,
 charlie ,nan,50000,Other,Sales,Clerk,3/25/2019,C,name@company.org, ,,,,Charlie,,50000,Other,Sales,Clerk,3/25/2019,C,name@company.org,,
 grace ,50,SIXTY THOUSAND,Male,IT,Clerk,2/20/2020,C,, ,,,,Grace,50,60000,Male,IT,Clerk,2/20/2020,C,,,
 david ,25,65000,Male,HR,Assistant,2019.12.01,C,,555-555-5555,,,,David,25,65000,Male,HR,Assistant,12/1/2019,C,,555-555-5555,
 ivy ,25,55000,Female,Finance,Manager,2019.12.01,B,name@company.org,098-765-4321,,,,Ivy,25,55000,Female,Finance,Manager,12/1/2019,B,name@company.org,098-765-4321,
 charlie ,50,70000,Female,Finance,Clerk,2019.12.01,B,nan, ,,,,Charlie,50,70000,Female,Finance,Clerk,12/1/2019,B,,,
 eve ,35, NAN ,Female,Sales,Director,1/15/2020,A,email@example.com,123-456-7890,,,,Eve,35,  ,Female,Sales,Director,1/15/2020,A,email@example.com,123-456-7890,
 charlie ,40, NAN ,Female,IT,Director,5-Apr-18,D,email@example.com,555-555-5555,,,,Charlie,40,  ,Female,IT,Director,4/5/2018,D,email@example.com,555-555-5555,
 grace ,25,65000,Male,IT,Assistant,2/20/2020,A,name@company.org,nan,,,,Grace,25,65000,Male,IT,Assistant,2/20/2020,A,name@company.org,,
 eve ,40, NAN ,Other,Sales,Manager,2/20/2020,C,name@company.org,123-456-7890,,,,Eve,40,  ,Other,Sales,Manager,2/20/2020,C,name@company.org,123-456-7890,
 ivy ,25,SIXTY THOUSAND,Male,IT,Manager,2/20/2020,A,nan,098-765-4321,,,,Ivy,25,60000,Male,IT,Manager,2/20/2020,A,,098-765-4321,
 grace ,thirty, NAN ,Male,Marketing,Director,2/20/2020,D,, ,,,,Grace,30,  ,Male,Marketing,Director,2/20/2020,D,,,
 bob ,nan,55000,Male,HR,Analyst,2019.12.01,B,user@domain.com,123-456-7890,,,,Bob,,55000,Male,HR,Analyst,12/1/2019,B,user@domain.com,123-456-7890,
 david ,25,55000,Female,Finance,Assistant,2/20/2020,A,,nan,,,,David,25,55000,Female,Finance,Assistant,2/20/2020,A,,,
 ivy ,40,70000,Female,HR,Assistant,5-Apr-18,C,email@example.com,nan,,,,Ivy,40,70000,Female,HR,Assistant,4/5/2018,C,email@example.com,,
 bob ,thirty,50000,Female,Finance,Director,2019.12.01,C,name@company.org,098-765-4321,,,,Bob,30,50000,Female,Finance,Director,12/1/2019,C,name@company.org,098-765-4321,
 jack ,25,SIXTY THOUSAND,Other,Marketing,Director,2/20/2020,B,nan,123-456-7890,,,,Jack,25,60000,Other,Marketing,Director,2/20/2020,B,,123-456-7890,
 ivy ,35,70000,Male,IT,Analyst,1/15/2020,A,,555-555-5555,,,,Ivy,35,70000,Male,IT,Analyst,1/15/2020,A,,555-555-5555,
 jack ,nan,SIXTY THOUSAND,Other,Sales,Analyst,3/25/2019,D,nan,123-456-7890,,,,Jack,,60000,Other,Sales,Analyst,3/25/2019,D,,123-456-7890,
 eve ,25,50000,Female,Marketing,Manager,3/25/2019,B,,nan,,,,Eve,25,50000,Female,Marketing,Manager,3/25/2019,B,,,
 bob ,thirty, NAN ,Other,HR,Assistant,3/25/2019,A,email@example.com,098-765-4321,,,,Bob,30,  ,Other,HR,Assistant,3/25/2019,A,email@example.com,098-765-4321,
 david ,35, NAN ,Male,Sales,Assistant,2019.12.01,F,user@domain.com,098-765-4321,,,,David,35,  ,Male,Sales,Assistant,12/1/2019,F,user@domain.com,098-765-4321,
 grace ,50,50000,Male,IT,Director,2/20/2020,C,nan,555-555-5555,,,,Grace,50,50000,Male,IT,Director,2/20/2020,C,,555-555-5555,
 hannah ,thirty,70000,Female,Marketing,Manager,2019.12.01,D,nan,098-765-4321,,,,Hannah,30,70000,Female,Marketing,Manager,12/1/2019,D,,098-765-4321,
 charlie ,thirty,50000,Female,Sales,Assistant,5-Apr-18,D,user@domain.com,098-765-4321,,,,Charlie,30,50000,Female,Sales,Assistant,4/5/2018,D,user@domain.com,098-765-4321,
 alice ,35,65000,Other,Marketing,Manager,1/15/2020,D,nan,098-765-4321,,,,Alice,35,65000,Other,Marketing,Manager,1/15/2020,D,,098-765-4321,
 david ,thirty,55000,Female,Marketing,Manager,1/15/2020,C,nan,098-765-4321,,,,David,30,55000,Female,Marketing,Manager,1/15/2020,C,,098-765-4321,
 bob ,35,70000,Female,IT,Director,3/25/2019,A,,098-765-4321,,,,Bob,35,70000,Female,IT,Director,3/25/2019,A,,098-765-4321,
 hannah ,25,SIXTY THOUSAND,Male,Finance,Manager,3/25/2019,B,,nan,,,,Hannah,25,60000,Male,Finance,Manager,3/25/2019,B,,,
 david ,35,65000,Female,Sales,Analyst,3/25/2019,A,user@domain.com,123-456-7890,,,,David,35,65000,Female,Sales,Analyst,3/25/2019,A,user@domain.com,123-456-7890,
 bob ,35,70000,Female,IT,Analyst,2/20/2020,B,email@example.com, ,,,,Bob,35,70000,Female,IT,Analyst,2/20/2020,B,email@example.com,,
 frank ,nan,50000,Male,Marketing,Clerk,5-Apr-18,D,nan,098-765-4321,,,,Frank,,50000,Male,Marketing,Clerk,4/5/2018,D,,098-765-4321,
 frank ,35,50000,Male,IT,Director,5-Apr-18,A,email@example.com, ,,,,Frank,35,50000,Male,IT,Director,4/5/2018,A,email@example.com,,
 jack ,35,50000,Other,Finance,Clerk,5-Apr-18,D,user@domain.com, ,,,,Jack,35,50000,Other,Finance,Clerk,4/5/2018,D,user@domain.com,,
 david ,50,50000,Female,Sales,Analyst,5-Apr-18,F,user@domain.com,nan,,,,David,50,50000,Female,Sales,Analyst,4/5/2018,F,user@domain.com,,
 frank ,25,SIXTY THOUSAND,Male,Finance,Clerk,3/25/2019,D,,098-765-4321,,,,Frank,25,60000,Male,Finance,Clerk,3/25/2019,D,,098-765-4321,
 bob ,nan,65000,Other,HR,Director,1/15/2020,D,nan, ,,,,Bob,,65000,Other,HR,Director,1/15/2020,D,,,
 jack ,50, NAN ,Other,Sales,Director,3/25/2019,B,name@company.org,098-765-4321,,,,Jack,50,  ,Other,Sales,Director,3/25/2019,B,name@company.org,098-765-4321,
 bob ,40,55000,Female,Finance,Manager,5-Apr-18,F,user@domain.com,555-555-5555,,,,Bob,40,55000,Female,Finance,Manager,4/5/2018,F,user@domain.com,555-555-5555,
 jack ,25,SIXTY THOUSAND,Female,Marketing,Assistant,3/25/2019,D,nan,555-555-5555,,,,Jack,25,60000,Female,Marketing,Assistant,3/25/2019,D,,555-555-5555,
 david ,25,SIXTY THOUSAND,Other,Sales,Manager,5-Apr-18,D,email@example.com,555-555-5555,,,,David,25,60000,Other,Sales,Manager,4/5/2018,D,email@example.com,555-555-5555,
 hannah ,40, NAN ,Male,Sales,Director,2019.12.01,F,, ,,,,Hannah,40,  ,Male,Sales,Director,12/1/2019,F,,,
 grace ,35, NAN ,Other,IT,Analyst,1/15/2020,F,email@example.com,555-555-5555,,,,Grace,35,  ,Other,IT,Analyst,1/15/2020,F,email@example.com,555-555-5555,
 ivy ,50,55000,Female,Marketing,Analyst,2019.12.01,A,user@domain.com,nan,,,,Ivy,50,55000,Female,Marketing,Analyst,12/1/2019,A,user@domain.com,,
 hannah ,thirty,55000,Male,HR,Manager,2/20/2020,B,user@domain.com,nan,,,,Hannah,30,55000,Male,HR,Manager,2/20/2020,B,user@domain.com,,
 eve ,nan, NAN ,Male,Finance,Director,3/25/2019,F,email@example.com, ,,,,Eve,,  ,Male,Finance,Director,3/25/2019,F,email@example.com,,
 bob ,thirty,50000,Other,IT,Analyst,2/20/2020,F,user@domain.com,098-765-4321,,,,Bob,30,50000,Other,IT,Analyst,2/20/2020,F,user@domain.com,098-765-4321,
 eve ,40,SIXTY THOUSAND,Female,Finance,Director,3/25/2019,C,nan,123-456-7890,,,,Eve,40,60000,Female,Finance,Director,3/25/2019,C,,123-456-7890,
 hannah ,25,70000,Other,HR,Analyst,2019.12.01,F,user@domain.com,098-765-4321,,,,Hannah,25,70000,Other,HR,Analyst,12/1/2019,F,user@domain.com,098-765-4321,
 jack ,25,55000,Other,HR,Director,5-Apr-18,B,,098-765-4321,,,,Jack,25,55000,Other,HR,Director,4/5/2018,B,,098-765-4321,
 ivy ,nan,55000,Other,Sales,Clerk,5-Apr-18,D,nan,098-765-4321,,,,Ivy,,55000,Other,Sales,Clerk,4/5/2018,D,,098-765-4321,
 ivy ,25, NAN ,Male,HR,Director,3/25/2019,D,name@company.org,098-765-4321,,,,Ivy,25,  ,Male,HR,Director,3/25/2019,D,name@company.org,098-765-4321,
 alice ,25,65000,Male,Finance,Director,5-Apr-18,D,user@domain.com,123-456-7890,,,,Alice,25,65000,Male,Finance,Director,4/5/2018,D,user@domain.com,123-456-7890,
 ivy ,nan,70000,Female,Marketing,Manager,2019.12.01,D,user@domain.com,555-555-5555,,,,Ivy,,70000,Female,Marketing,Manager,12/1/2019,D,user@domain.com,555-555-5555,
 grace ,50,70000,Female,Marketing,Clerk,5-Apr-18,C,,098-765-4321,,,,Grace,50,70000,Female,Marketing,Clerk,4/5/2018,C,,098-765-4321,
 ivy ,50,55000,Other,Sales,Assistant,2019.12.01,F,,nan,,,,Ivy,50,55000,Other,Sales,Assistant,12/1/2019,F,,,
 hannah ,nan,50000,Other,Finance,Manager,2/20/2020,D,email@example.com, ,,,,Hannah,,50000,Other,Finance,Manager,2/20/2020,D,email@example.com,,
 alice ,40,65000,Other,Finance,Assistant,2019.12.01,A,email@example.com, ,,,,Alice,40,65000,Other,Finance,Assistant,12/1/2019,A,email@example.com,,
 hannah ,25,70000,Female,HR,Analyst,1/15/2020,D,email@example.com,nan,,,,Hannah,25,70000,Female,HR,Analyst,1/15/2020,D,email@example.com,,
 hannah ,25,55000,Male,Finance,Assistant,1/15/2020,F,,098-765-4321,,,,Hannah,25,55000,Male,Finance,Assistant,1/15/2020,F,,098-765-4321,
 charlie ,40,70000,Male,IT,Director,1/15/2020,D,email@example.com,123-456-7890,,,,Charlie,40,70000,Male,IT,Director,1/15/2020,D,email@example.com,123-456-7890,
 alice ,50,65000,Other,HR,Assistant,3/25/2019,C,email@example.com,555-555-5555,,,,Alice,50,65000,Other,HR,Assistant,3/25/2019,C,email@example.com,555-555-5555,
 hannah ,35,65000,Other,IT,Manager,3/25/2019,B,name@company.org, ,,,,Hannah,35,65000,Other,IT,Manager,3/25/2019,B,name@company.org,,
 charlie ,35,SIXTY THOUSAND,Other,Sales,Manager,3/25/2019,B,email@example.com,555-555-5555,,,,Charlie,35,60000,Other,Sales,Manager,3/25/2019,B,email@example.com,555-555-5555,
 charlie ,35, NAN ,Other,Marketing,Assistant,2019.12.01,F,user@domain.com,123-456-7890,,,,Charlie,35,  ,Other,Marketing,Assistant,12/1/2019,F,user@domain.com,123-456-7890,
 alice ,50, NAN ,Female,Sales,Manager,3/25/2019,B,, ,,,,Alice,50,  ,Female,Sales,Manager,3/25/2019,B,,,
 eve ,50,55000,Male,Marketing,Manager,2/20/2020,B,nan,555-555-5555,,,,Eve,50,55000,Male,Marketing,Manager,2/20/2020,B,,555-555-5555,
 jack ,40,65000,Other,Sales,Assistant,1/15/2020,A,name@company.org,123-456-7890,,,,Jack,40,65000,Other,Sales,Assistant,1/15/2020,A,name@company.org,123-456-7890,
 grace ,25,SIXTY THOUSAND,Female,Finance,Clerk,2019.12.01,F,,555-555-5555,,,,Grace,25,60000,Female,Finance,Clerk,12/1/2019,F,,555-555-5555,
 jack ,40,SIXTY THOUSAND,Other,IT,Clerk,1/15/2020,F,,098-765-4321,,,,Jack,40,60000,Other,IT,Clerk,1/15/2020,F,,098-765-4321,
 ivy ,40,70000,Other,Marketing,Analyst,3/25/2019,B,user@domain.com,123-456-7890,,,,Ivy,40,70000,Other,Marketing,Analyst,3/25/2019,B,user@domain.com,123-456-7890,
 grace ,50,70000,Male,HR,Manager,2019.12.01,B,email@example.com,555-555-5555,,,,Grace,50,70000,Male,HR,Manager,12/1/2019,B,email@example.com,555-555-5555,
 ivy ,35,SIXTY THOUSAND,Other,IT,Assistant,5-Apr-18,B,user@domain.com,098-765-4321,,,,Ivy,35,60000,Other,IT,Assistant,4/5/2018,B,user@domain.com,098-765-4321,
 hannah ,thirty,70000,Male,HR,Manager,2/20/2020,C,email@example.com,098-765-4321,,,,Hannah,30,70000,Male,HR,Manager,2/20/2020,C,email@example.com,098-765-4321,
 bob ,25,65000,Male,IT,Director,3/25/2019,D,email@example.com,123-456-7890,,,,Bob,25,65000,Male,IT,Director,3/25/2019,D,email@example.com,123-456-7890,
 alice ,50,50000,Male,IT,Manager,3/25/2019,C,,nan,,,,Alice,50,50000,Male,IT,Manager,3/25/2019,C,,,
 grace ,35,65000,Female,Sales,Manager,2/20/2020,F,email@example.com, ,,,,Grace,35,65000,Female,Sales,Manager,2/20/2020,F,email@example.com,,
 grace ,thirty,SIXTY THOUSAND,Female,Marketing,Clerk,2/20/2020,A,name@company.org,123-456-7890,,,,Grace,30,60000,Female,Marketing,Clerk,2/20/2020,A,name@company.org,123-456-7890,
 hannah ,thirty,SIXTY THOUSAND,Male,Marketing,Assistant,5-Apr-18,D,name@company.org,098-765-4321,,,,Hannah,30,60000,Male,Marketing,Assistant,4/5/2018,D,name@company.org,098-765-4321,
 eve ,50,65000,Other,IT,Manager,3/25/2019,A,name@company.org,098-765-4321,,,,Eve,50,65000,Other,IT,Manager,3/25/2019,A,name@company.org,098-765-4321,
 charlie ,nan,70000,Male,Finance,Clerk,3/25/2019,F,,123-456-7890,,,,Charlie,,70000,Male,Finance,Clerk,3/25/2019,F,,123-456-7890,
 hannah ,25,70000,Other,Finance,Analyst,1/15/2020,F,user@domain.com,nan,,,,Hannah,25,70000,Other,Finance,Analyst,1/15/2020,F,user@domain.com,,
 frank ,thirty, NAN ,Male,HR,Clerk,2019.12.01,A,nan, ,,,,Frank,30,  ,Male,HR,Clerk,12/1/2019,A,,,
 charlie ,50,SIXTY THOUSAND,Other,HR,Clerk,2019.12.01,A,email@example.com,555-555-5555,,,,Charlie,50,60000,Other,HR,Clerk,12/1/2019,A,email@example.com,555-555-5555,
 alice ,50,55000,Female,Sales,Clerk,1/15/2020,A,nan,123-456-7890,,,,Alice,50,55000,Female,Sales,Clerk,1/15/2020,A,,123-456-7890,
 charlie ,35, NAN ,Other,IT,Manager,2019.12.01,F,user@domain.com, ,,,,Charlie,35,  ,Other,IT,Manager,12/1/2019,F,user@domain.com,,
 eve ,nan,70000,Male,HR,Manager,2/20/2020,B,user@domain.com, ,,,,Eve,,70000,Male,HR,Manager,2/20/2020,B,user@domain.com,,
 charlie ,25,65000,Female,HR,Analyst,2019.12.01,A,,098-765-4321,,,,Charlie,25,65000,Female,HR,Analyst,12/1/2019,A,,098-765-4321,
 alice ,40,70000,Other,IT,Director,2019.12.01,D,name@company.org,555-555-5555,,,,Alice,40,70000,Other,IT,Director,12/1/2019,D,name@company.org,555-555-5555,
 eve ,35,65000,Other,Sales,Director,1/15/2020,F,name@company.org,123-456-7890,,,,Eve,35,65000,Other,Sales,Director,1/15/2020,F,name@company.org,123-456-7890,
 jack ,thirty, NAN ,Other,HR,Director,5-Apr-18,C,user@domain.com,098-765-4321,,,,Jack,30,  ,Other,HR,Director,4/5/2018,C,user@domain.com,098-765-4321,
 grace ,thirty,SIXTY THOUSAND,Other,Sales,Analyst,2019.12.01,C,,098-765-4321,,,,Grace,30,60000,Other,Sales,Analyst,12/1/2019,C,,098-765-4321,
 grace ,35,70000,Other,Marketing,Director,2019.12.01,D,,nan,,,,Grace,35,70000,Other,Marketing,Director,12/1/2019,D,,,
 ivy ,50,65000,Female,Sales,Director,5-Apr-18,B,email@example.com, ,,,,Ivy,50,65000,Female,Sales,Director,4/5/2018,B,email@example.com,,
 jack ,thirty,SIXTY THOUSAND,Female,Finance,Clerk,1/15/2020,A,name@company.org,123-456-7890,,,,Jack,30,60000,Female,Finance,Clerk,1/15/2020,A,name@company.org,123-456-7890,
 jack ,nan,55000,Female,Finance,Manager,5-Apr-18,F,user@domain.com,123-456-7890,,,,Jack,,55000,Female,Finance,Manager,4/5/2018,F,user@domain.com,123-456-7890,
 charlie ,25,65000,Female,Sales,Manager,1/15/2020,A,nan,123-456-7890,,,,Charlie,25,65000,Female,Sales,Manager,1/15/2020,A,,123-456-7890,
 grace ,nan, NAN ,Male,Finance,Clerk,2/20/2020,F,name@company.org,098-765-4321,,,,Grace,,  ,Male,Finance,Clerk,2/20/2020,F,name@company.org,098-765-4321,
 alice ,thirty,55000,Female,Marketing,Clerk,1/15/2020,C,email@example.com,nan,,,,Alice,30,55000,Female,Marketing,Clerk,1/15/2020,C,email@example.com,,
 david ,40,55000,Other,IT,Clerk,2/20/2020,A,,555-555-5555,,,,David,40,55000,Other,IT,Clerk,2/20/2020,A,,555-555-5555,
 david ,25,50000,Other,Finance,Manager,2/20/2020,D,user@domain.com,098-765-4321,,,,David,25,50000,Other,Finance,Manager,2/20/2020,D,user@domain.com,098-765-4321,
 eve ,25,70000,Female,Finance,Director,1/15/2020,B,name@company.org,555-555-5555,,,,Eve,25,70000,Female,Finance,Director,1/15/2020,B,name@company.org,555-555-5555,
 grace ,35,65000,Other,Sales,Clerk,3/25/2019,D,nan,nan,,,,Grace,35,65000,Other,Sales,Clerk,3/25/2019,D,,,
 grace ,35,55000,Female,Marketing,Analyst,1/15/2020,B,email@example.com, ,,,,Grace,35,55000,Female,Marketing,Analyst,1/15/2020,B,email@example.com,,
 david ,40,50000,Other,IT,Clerk,2019.12.01,A,email@example.com,123-456-7890,,,,David,40,50000,Other,IT,Clerk,12/1/2019,A,email@example.com,123-456-7890,
 grace ,50, NAN ,Male,Sales,Assistant,2019.12.01,A,name@company.org,555-555-5555,,,,Grace,50,  ,Male,Sales,Assistant,12/1/2019,A,name@company.org,555-555-5555,
 charlie ,25,SIXTY THOUSAND,Male,Sales,Clerk,3/25/2019,B,nan,098-765-4321,,,,Charlie,25,60000,Male,Sales,Clerk,3/25/2019,B,,098-765-4321,
 frank ,40,65000,Female,Marketing,Manager,2/20/2020,C,email@example.com,555-555-5555,,,,Frank,40,65000,Female,Marketing,Manager,2/20/2020,C,email@example.com,555-555-5555,
 bob ,35,55000,Female,IT,Clerk,3/25/2019,F,user@domain.com, ,,,,Bob,35,55000,Female,IT,Clerk,3/25/2019,F,user@domain.com,,
 jack ,35,70000,Female,Marketing,Assistant,2019.12.01,D,email@example.com,123-456-7890,,,,Jack,35,70000,Female,Marketing,Assistant,12/1/2019,D,email@example.com,123-456-7890,
 ivy ,25,50000,Other,IT,Analyst,3/25/2019,D,nan,555-555-5555,,,,Ivy,25,50000,Other,IT,Analyst,3/25/2019,D,,555-555-5555,
 eve ,nan,55000,Female,Marketing,Director,1/15/2020,D,, ,,,,Eve,,55000,Female,Marketing,Director,1/15/2020,D,,,
 frank ,thirty,70000,Male,Sales,Clerk,3/25/2019,A,,098-765-4321,,,,Frank,30,70000,Male,Sales,Clerk,3/25/2019,A,,098-765-4321,
 david ,35,55000,Other,Sales,Assistant,2/20/2020,D,name@company.org,nan,,,,David,35,55000,Other,Sales,Assistant,2/20/2020,D,name@company.org,,
 jack ,50,65000,Female,HR,Assistant,1/15/2020,F,nan,098-765-4321,,,,Jack,50,65000,Female,HR,Assistant,1/15/2020,F,,098-765-4321,
 grace ,50,65000,Other,Finance,Analyst,5-Apr-18,F,email@example.com,123-456-7890,,,,Grace,50,65000,Other,Finance,Analyst,4/5/2018,F,email@example.com,123-456-7890,
 ivy ,35,65000,Other,Marketing,Manager,2019.12.01,B,email@example.com,098-765-4321,,,,Ivy,35,65000,Other,Marketing,Manager,12/1/2019,B,email@example.com,098-765-4321,
 grace ,nan, NAN ,Female,HR,Clerk,2019.12.01,A,,098-765-4321,,,,Grace,,  ,Female,HR,Clerk,12/1/2019,A,,098-765-4321,
 alice ,nan, NAN ,Other,Finance,Assistant,3/25/2019,F,,098-765-4321,,,,Alice,,  ,Other,Finance,Assistant,3/25/2019,F,,098-765-4321,
 alice ,40,50000,Male,Marketing,Analyst,1/15/2020,C,user@domain.com,098-765-4321,,,,Alice,40,50000,Male,Marketing,Analyst,1/15/2020,C,user@domain.com,098-765-4321,
 ivy ,50,65000,Male,IT,Director,5-Apr-18,A,,123-456-7890,,,,Ivy,50,65000,Male,IT,Director,4/5/2018,A,,123-456-7890,
 ivy ,40,70000,Other,Finance,Assistant,1/15/2020,A,user@domain.com, ,,,,Ivy,40,70000,Other,Finance,Assistant,1/15/2020,A,user@domain.com,,
 david ,50,55000,Female,Sales,Analyst,2019.12.01,F,email@example.com,555-555-5555,,,,David,50,55000,Female,Sales,Analyst,12/1/2019,F,email@example.com,555-555-5555,
 ivy ,thirty,SIXTY THOUSAND,Other,HR,Manager,1/15/2020,C,user@domain.com,nan,,,,Ivy,30,60000,Other,HR,Manager,1/15/2020,C,user@domain.com,,
 charlie ,thirty,70000,Male,Finance,Manager,5-Apr-18,B,user@domain.com,555-555-5555,,,,Charlie,30,70000,Male,Finance,Manager,4/5/2018,B,user@domain.com,555-555-5555,
 grace ,25, NAN ,Other,Finance,Assistant,3/25/2019,F,name@company.org,555-555-5555,,,,Grace,25,  ,Other,Finance,Assistant,3/25/2019,F,name@company.org,555-555-5555,
 frank ,40, NAN ,Other,Sales,Assistant,2/20/2020,C,,nan,,,,Frank,40,  ,Other,Sales,Assistant,2/20/2020,C,,,
 hannah ,35,70000,Male,Marketing,Clerk,1/15/2020,A,user@domain.com,123-456-7890,,,,Hannah,35,70000,Male,Marketing,Clerk,1/15/2020,A,user@domain.com,123-456-7890,
 ivy ,40, NAN ,Other,IT,Analyst,2/20/2020,C,email@example.com,nan,,,,Ivy,40,  ,Other,IT,Analyst,2/20/2020,C,email@example.com,,
 eve ,35,65000,Other,Sales,Assistant,2019.12.01,A,nan,123-456-7890,,,,Eve,35,65000,Other,Sales,Assistant,12/1/2019,A,,123-456-7890,
 alice ,nan,50000,Female,IT,Clerk,3/25/2019,F,user@domain.com,555-555-5555,,,,Alice,,50000,Female,IT,Clerk,3/25/2019,F,user@domain.com,555-555-5555,
 charlie ,40,55000,Female,Marketing,Clerk,3/25/2019,F,,123-456-7890,,,,Charlie,40,55000,Female,Marketing,Clerk,3/25/2019,F,,123-456-7890,
 jack ,nan,50000,Male,Finance,Assistant,1/15/2020,D,name@company.org, ,,,,Jack,,50000,Male,Finance,Assistant,1/15/2020,D,name@company.org,,
 hannah ,thirty,55000,Male,IT,Manager,3/25/2019,D,email@example.com,nan,,,,Hannah,30,55000,Male,IT,Manager,3/25/2019,D,email@example.com,,
 frank ,thirty,55000,Male,HR,Analyst,1/15/2020,D,name@company.org, ,,,,Frank,30,55000,Male,HR,Analyst,1/15/2020,D,name@company.org,,
